id,"Use_Case_Name",category,family,description
"16.4","Establish automatic account inactivity logout thresholds.","16: Account Monitoring and Control",Application,"Regularly monitor the use of all accounts automatically logging off users after a standard period of inactivity"
"16.5","Require screen locks on unattended workstatons.","16: Account Monitoring and Control",Application,"Configure screen locks on systems to limit access to unattended workstations"
"16.6","Identify and disable dormant accounts if possible.","16: Account Monitoring and Control",Application,"Monitor account usage to determine dormant accounts notifying the user or users manager Disable such accounts if not needed or document and monitor exceptions (eg vendor maintenance accounts needed for system recovery or continuity operations) Require that managers match active employees and contractors with each account belonging to their managed staff Security or system administrators should then disable accounts that are not assigned to valid workforce members"
"16.7","Establish account lockout protections base on failed login attempts.","16: Account Monitoring and Control",Application,"Use and configure account lockouts such that after a set number of failed login attempts the account is locked for a standard period of time"
"16.8","Monitor attempts to access deactivated accounts through audit logging.","16: Account Monitoring and Control",Application,"Monitor attempts to access deactivated accounts through audit logging"
"16.9","Configure centralized authentication.","16: Account Monitoring and Control",Application,"Configure access for all accounts through a centralized point of authentication for example Active Directory or LDAP  Configure network and security devices for centralized authentication as well"
"17.1","Assess employees' knowledge and security.","17: Security Skills Assessment and Appropriate Training to Fill Gaps",Application,"Perform gap analysis to see which skills employees need and which behaviors employees are not adhering to using this information to build a baseline training and awareness roadmap for all employees"
"17.2","Deliver training to fill the skills gap.","17: Security Skills Assessment and Appropriate Training to Fill Gaps",Application,"Deliver training to fill the skills gap If possible use more senior staff to deliver the training A second option is to have outside teachers provide training onsite so the examples used will be directly relevant If you have small numbers of people to train use training conferences or online training to fill the gaps"
"17.3","Implement a security awareness program.","17: Security Skills Assessment and Appropriate Training to Fill Gaps",Application,"Implement an security awareness program that (1) focuses only on the methods commonly used in intrusions that can be blocked through individual action (2) is delivered in short online modules convenient for employees (3) is updated frequently (at least annually) to represent the latest attack techniques (4) is mandated for completion by all employees at least annually and (5) is reliably monitored for employee completion"
"17.4","Periodically test security awareness.","17: Security Skills Assessment and Appropriate Training to Fill Gaps",Application,"Validate and improve awareness levels through periodic tests to see whether employees will click on a link from suspicious e-mail or provide sensitive information on the telephone without following appropriate procedures for authenticating a caller targeted training should be provided to those who fall victim to the exercise"
"17.5","Use security skills assessments for mission-critical personnel.","17: Security Skills Assessment and Appropriate Training to Fill Gaps",Application,"Use security skills assessments for each of the mission-critical roles to identify skills gaps Use hands-on real-world examples to measure mastery If you do not have such assessments use one of the available online competitions that simulate real-world scenarios for each of the identified jobs in order to measure skills mastery"
"18.1","Use supported application software.","18: Application Software Security",Application,"For all acquired application software check that the version you are using is still supported by the vendor If not update to the most current version and install all relevant patches and vendor security recommendations"
"18.2","Implement web application firewalls (WAF)","18: Application Software Security",Application,"Protect web applications by deploying web application firewalls (WAFs) that inspect all traffic flowing to the web application for common web application attacks including but not limited to cross-site scripting SQL injection command injection and directory traversal attacks For applications that are not web-based specific application firewalls should be deployed if such tools are available for the given application type  If the traffic is encrypted the device should either sit behind the encryption or be capable of decrypting the traffic prior to analysis  If neither option is appropriate a host-based web application firewall should be deployed"
"18.3","Require explicit error checking for all application input.","18: Application Software Security",Application,"For in-house developed software ensure that explicit error checking is performed and documented for all input including for size data type and acceptable ranges or formats "
"18.4","Test web applications for sommon security weaknesses.","18: Application Software Security",Application,"Test in-house-developed and third-party-procured web applications for common security weaknesses using automated remote web application scanners prior to deployment whenever updates are made to the application and on a regular recurring basis In particular input validation and output encoding routines of application software should be reviewed and tested"
"18.5","Do not display system error messages to end-users (output sanitization).","18: Application Software Security",Application,"Do not display system error messages to end-users (output sanitization)"
"18.6","Separate production and non-production environemnts.","18: Application Software Security",Application,"Maintain separate environments for production and nonproduction systems Developers should not typically have unmonitored access to production environments"
"18.7","Harden database servers.","18: Application Software Security",Application,"For applications that rely on a database use standard hardening configuration templates All systems that are part of critical business processes should also be tested"
"18.8","Provide security-specific training to software developers.","18: Application Software Security",Application,"Ensure that all software development personnel receive training in writing secure code for their specific development environment"
"18.9","Remove development artifacts from production release code.","18: Application Software Security",Application,"For in-house developed applications ensure that development artifacts (sample data and scripts unused libraries components debug code or tools) are not included in the deployed software or accessible in the production environment"
"19.1","Establish an incident response procedure.","19: Incident Response and Management",Application,"Ensure that there are written incident response procedures that include a definition of personnel roles for handling incidents The procedures should define the phases of incident handling"
"19.2","Assign incident reponse duties to specific individuals.","19: Incident Response and Management",Application,"Assign job titles and duties for handling computer and network incidents to specific individuals"
"19.3","Assign decision-making responsibilities to management personnel.","19: Incident Response and Management",Application,"Define management personnel who will support the incident handling process by acting in key decision-making roles"
"19.4","Establish reporting standards for anomalous events.","19: Incident Response and Management",Application,"Devise organization-wide standards for the time required for system administrators and other personnel to report anomalous events to the incident handling team the mechanisms for such reporting and the kind of information that should be included in the incident notification This reporting should also include notifying the appropriate Community Emergency Response Team in accordance with all legal or regulatory requirements for involving that organization in computer incidents"
"19.5","Assemble and maintain information on third-party contact information.","19: Incident Response and Management",Application,"Assemble and maintain information on third-party contact information to be used to report a security incident (eg maintain an e-mail address of security@organizationcom or have a web page httporganizationcomsecurity)"
"19.6","Publish reporting standards for anomalous events.","19: Incident Response and Management",Application,"Publish information for all personnel including employees and contractors regarding reporting computer anomalies and incidents to the incident handling team Such information should be included in routine employee awareness activities"
"19.7","Conduct incident reponse scenario sessions.","19: Incident Response and Management",Application,"Conduct periodic incident scenario sessions for personnel associated with the incident handling team to ensure that they understand current threats and risks as well as their responsibilities in supporting the incident handling team"
"20.1","Conduct internal and external penetration tests.","20: Penetration Tests and Red Team Exercises",Application,"Conduct regular external and internal penetration tests to identify vulnerabilities and attack vectors that can be used to exploit enterprise systems successfully Penetration testing should occur from outside the network perimeter (ie the Internet or wireless frequencies around an organization) as well as from within its boundaries (ie on the internal network) to simulate both outsider and insider attacks"
"20.2","Monitor and control accounts used for penetration testing.","20: Penetration Tests and Red Team Exercises",Application,"Any user or system accounts used to perform penetration testing should be controlled and monitored to make sure they are only being used for legitimate purposes and are removed or restored to normal function after testing is over"
"20.3","Conduct red-team exercises.","20: Penetration Tests and Red Team Exercises",Application,"Perform periodic Red Team exercises to test organizational readiness to identify and stop attacks or to respond quickly and effectively"
"20.4","Test for unprotected system documentation.","20: Penetration Tests and Red Team Exercises",Application,"Include tests for the presence of unprotected system information and artifacts that would be useful to attackers including network diagrams configuration files older penetration test reports e-mails or documents containing passwords or other information critical to system operation"
"20.5","Establis goals for penetration tests including multi-vector attacks.","20: Penetration Tests and Red Team Exercises",Application,"Plan clear goals of the penetration test itself with blended attacks in mind identifying the goal machine or target asset  Many APT-style attacks deploy multiple vectorsoften social engineering combined with web or network exploitation  Red Team manual or automated testing that captures pivoted and multi-vector attacks offers a more realistic assessment of security posture and risk to critical assets"
"20.6","Use both vulnerability and penetration testing techniques.","20: Penetration Tests and Red Team Exercises",Application,"Use vulnerability scanning and penetration testing tools in concert  The results of vulnerability scanning assessments should be used as a starting point to guide and focus penetration testing efforts"
"20.7","Establish quantitative metrics for red-team results for tracking over time.","20: Penetration Tests and Red Team Exercises",Application,"Wherever possible ensure that Red Teams results are documented using open machine-readable standards (eg SCAP)  Devise a scoring method for determining the results of Red Team exercises so that results can be compared over time"
"20.8","Establish a representative test environment for red-team attacks against fragile systems.","20: Penetration Tests and Red Team Exercises",Application,"Create a test bed that mimics a production environment for specific penetration tests and Red Team attacks against elements that are not typically tested in production such as attacks against supervisory control and data acquisition and other control systems"
