Use_Case_Number,Use_Case_Name,Description,Application_Context,Data_Model,Data_Source,Data_Enrichment,Adoption_Phase,Use_Case_Collection
UC0111,Geographically Improbable Access Detected to Single Application,"For the past 18 hours starting 5 minutes after realtime, list the application, user business unit and group by user, source (host, IP, name) and time with a time span of 1 second - for any activity against dest_category of CATEGORY. Generate a distinct count of source by user, and return if count is greater than 1. Sort the output by time. Execute the macro get_asset based on the source to collects values from the asset list that maps to the source and perform an IP lookup on the source. Gather latitude, longitude and city and populate from event or asset. Take the last two events with the same user where the source does not match and calculate the distance, time difference and speed between and return values where the speed is greater than 500. When assessing applications which simultaneously available from internal and public address space the configuration of proxy systems must ensure the actual client IP is capture in the web server logs and the name of the server as utilized by the client (server_name) is captured in addition to the host name in a scale out solution.",Splunk_Professional_Services,Authentication,DS003Authentication-ET01Success,DE002IdentityInformation DE001AssetInformation DDE021 Commercially maintained Geo IP Database,Mature,
UC0112,Detect DNS Exfil Attacker Controlled External Authoritative DNS,"For the past 18 hours starting 5 minutes after realtime, list the application, user business unit and group by user, source (host, IP, name) and time with a time span of 1 second - for any activity against dest_category of CATEGORY. Generate a distinct count of source by user, and return if count is greater than 1. Sort the output by time. Execute the macro get_asset based on the source to collects values from the asset list that maps to the source and perform an IP lookup on the source. Gather latitude, longitude and city and populate from event or asset. Take the last two events with the same user where the source does not match and calculate the distance, time difference and speed between and return values where the speed is greater than 500. When assessing applications which simultaneously available from internal and public address space the configuration of proxy systems must ensure the actual client IP is capture in the web server logs and the name of the server as utilized by the client (server_name) is captured in addition to the host name in a scale out solution.",Splunk_Professional_Services,Network Resolution (DNS),DS002DNS-ET01Query,Top 10M site list Tracking list of name servers Domains of known/trusted authoritative providers list of well known host/subdomain query records,Maturing,
UC0113,Detect DNS Exfil using physical observer (TAP) or MITM (BGP),"For the past 18 hours starting 5 minutes after realtime, list the application, user business unit and group by user, source (host, IP, name) and time with a time span of 1 second - for any activity against dest_category of CATEGORY. Generate a distinct count of source by user, and return if count is greater than 1. Sort the output by time. Execute the macro get_asset based on the source to collects values from the asset list that maps to the source and perform an IP lookup on the source. Gather latitude, longitude and city and populate from event or asset. Take the last two events with the same user where the source does not match and calculate the distance, time difference and speed between and return values where the speed is greater than 500. When assessing applications which simultaneously available from internal and public address space the configuration of proxy systems must ensure the actual client IP is capture in the web server logs and the name of the server as utilized by the client (server_name) is captured in addition to the host name in a scale out solution. NOTE: This is a minor modification of UCESS023 Geographically Improbable Access Detected (Land Speed Violation)",Splunk_Professional_Services,Network Resolution (DNS),DS002DNS-ET01Query,Top 10M site list Tracking list of name servers Domains of known/trusted authoritative providers list of well known host/subdomain query records,Maturing,
UC0114,New Connection to In-Scope Device,,Splunk_Professional_Services,Network Traffic,DS010NetworkCommunication,DE001AssetInformation,Mature,
UC0115,AWS Credential Compromise Detected,"Detect the use of temporary security credentials outside of your AWS environment. Attackers might use this for something as straightforward as stealing time and CPU on your instances to mine Bitcoin, but it could be a lot worse; credential compromise could lead to deletion of infrastructure and stolen data (https://medium.com/netflix-techblog/netflix-cloud-security-detecting-credential-compromise-in-aws-9493d6fd373a)",Splunk_Professional_Services,Authentication,DS003Authentication,,Mature,
UC0116,Detect unauthorized external use of DNS Protocol,"Detect the use of DNS from an internal system that is not identified as previously authorized DNS server to any external system not previously authorized system using NGFW application as DNS or using a legacy firewall (tcp/udp) port 53. This illustrates the possible attempt at command and control, data exfiltration, or DNS and/or firewall policy misconfiguration allowing DNS bypass of DNS firewall.",Splunk_Professional_Services,Network Traffic,DS010NetworkCommunication-ET01Traffic|DS010NetworkCommunication-ET01TrafficAppAware,DE001AssetInformation: CAT-NET-DNS-RECURSIVE CAT-NET-DNS-EXTNEXTHOP,Maturing,
UC0117,Excessive Proxy Denies by Single Host,,Splunk_Professional_Services,Web,DS005WebProxyRequest-ET01Requested,DE002IdentityInformation,Mature,
UCESS002,Abnormally High Number of Endpoint Changes By User,,DA-ESS-EndpointProtection,Endpoint,DS009EndPointIntel|DS009EndPointIntel-ET01ObjectChange,DE001AssetInformation DE002IdentityInformation,Mature,Recommended Out of the Box Use Cases
UCESS003,Abnormally High Number of HTTP Method Events By Src,,DA-ESS-NetworkProtection,Web,DS005WebProxyRequest-ET01Requested,DE001AssetInformation,Edge,Recommended Out of the Box Use Cases
UCESS004,Account Deleted,,SA-AccessProtection,Inventory,DS006UserActivity-ET05Delete,DDE013 Critical Policy Objects DDE016 Critical or Risky Groups,Mature,Recommended Out of the Box Use Cases
UCESS005,Activity from Expired User Identity,,SA-IdentityManagement,Authentication,DS003Authentication-ET01Success,DE002IdentityInformation,Maturing,Recommended Out of the Box Use Cases
UCESS006,Anomalous Audit Trail Activity Detected,,SA-AuditAndDataProtection,Splunk Audit Logs ,DS007AuditTrail-ET01Clear|DS007AuditTrail-ET02Alter,DDE001 Asset Information DDE004 Threat List,Maturing,Recommended Out of the Box Use Cases
UCESS007,Anomalous New Process,,SA-EndpointProtection,Endpoint,DS009EndPointIntel-ET01ProcessLaunch,DDE001 Asset Information DDE004 Threat List DDE012 Service State by platform DDE013 Critical Policy Objects,Mature,Recommended Out of the Box Use Cases
UCESS008,Anomalous New Service,,SA-EndpointProtection,Endpoint,DS009EndPointIntel|DS009EndPointIntel-ET01ServiceChange,DDE001 Asset Information DDE004 Threat List DDE012 Service State by platform,Mature,Recommended Out of the Box Use Cases
UCESS009,Asset Ownership Unspecified,,SA-IdentityManagement,Change,DS015ConfigurationManagement-ET01General,DE001AssetInformation,Mature,
UCESS010,Anomalous New Listening Port,,DA-ESS-EndpointProtection,Endpoint,DS009EndPointIntel,DE001AssetInformation,Edge,Recommended Out of the Box Use Cases
UCESS011,Brute Force Access Behavior Detected,,SA-AccessProtection,Authentication,DS003Authentication-ET01Success|DS003Authentication-ET02FailureBadFactor,DE002IdentityInformation,Maturing,Recommended Out of the Box Use Cases
UCESS012,Brute Force Access Behavior Detected Over One Day,,SA-AccessProtection,Authentication,DS003Authentication-ET01Success|DS003Authentication-ET02FailureBadFactor,DE002IdentityInformation,Maturing,Recommended Out of the Box Use Cases
UCESS013,Cleartext Password At Rest Detected,,SA-AccessProtection,Endpoint,DS009EndPointIntel,DDE013 Critical Policy Objects DDE016 Critical or Risky Groups,Edge,Recommended Out of the Box Use Cases
UCESS014,Completely Inactive Account,,SA-AccessProtection,Authentication,DS003Authentication-ET01Success,DDE013 Critical Policy Objects DDE016 Critical or Risky Groups,Mature,Recommended Out of the Box Use Cases
UCESS015,Concurrent Login Attempts Detected,,DA-ESS-AccessProtection,Authentication,DS003Authentication-ET01Success|DS003Authentication-ET02FailureBadFactor,DE001AssetInformation DE002IdentityInformation DDE021 Commercially maintained Geo IP Database,Mature,Recommended Out of the Box Use Cases
UCESS016,Default Account Activity Detected,,SA-AccessProtection,Authentication,DS003Authentication-ET01Success,DDE013 Critical Policy Objects DDE016 Critical or Risky Groups,Maturing,
UCESS017,Default Account At Rest Detected,,SA-AccessProtection,Endpoint,DS009EndPointIntel,DDE013 Critical Policy Objects DDE016 Critical or Risky Groups,Edge,Recommended Out of the Box Use Cases
UCESS018,Excessive DNS Failures,,DA-ESS-NetworkProtection,Network Resolution (DNS),DS002DNS-ET01QueryResponse,DDE001 Asset Information: CAT-svc:dnsresolver CAT-svc:mailgw CAT-svc:webproxy DDE017 Legitimate DNS command and control domains DDE010 Alexa TOP 1 million sites DDE019 CIM Corporate Web Domains,Maturing,Recommended Out of the Box Use Cases
UCESS019,Excessive DNS Queries,,DA-ESS-NetworkProtection,Network Resolution (DNS),DS002DNS-ET01QueryRequest,DDE001 Asset Information: CAT-svc:dnsresolver CAT-svc:mailgw CAT-svc:webproxy DDE017 Legitimate DNS command and control domains DDE010 Alexa TOP 1 million sites DDE019 CIM Corporate Web Domains,Maturing,Recommended Out of the Box Use Cases
UCESS020,Excessive Failed Logins,,SA-AccessProtection,Authentication,DS003Authentication-ET01Success|DS003Authentication-ET02FailureBadFactor,DE001AssetInformation DE002IdentityInformation,Maturing,Recommended Out of the Box Use Cases
UCESS021,Excessive HTTP Failure Responses,,DA-ESS-NetworkProtection,Web,DS014WebServer-ET01Access,DE001AssetInformation,Mature,Recommended Out of the Box Use Cases
UCESS022,Expected Host Not Reporting,,SA-AuditAndDataProtection,Splunk Audit Logs ,DS007AuditTrail,DE001AssetInformation,Essential,Recommended Out of the Box Use Cases
UCESS023,Geographically Improbable Access Detected,,DA-ESS-AccessProtection,Authentication,DS003Authentication-ET01Success,DE001AssetInformation DE002IdentityInformation DDE021 Commercially maintained Geo IP Database,Edge,Recommended Out of the Box Use Cases
UCESS024,High Number of Hosts Not Updating Malware Signatures,,DA-ESS-EndpointProtection,Malware,DS004EndPointAntiMalware-ET01SigDetected,DE001AssetInformation,Essential,Recommended Out of the Box Use Cases
UCESS025,High Number Of Infected Hosts,,DA-ESS-EndpointProtection,Malware,DS004EndPointAntiMalware-ET01SigDetected,DE001AssetInformation,Essential,Recommended Out of the Box Use Cases
UCESS026,High Or Critical Priority Host With Malware Detected,,DA-ESS-EndpointProtection,Malware,DS004EndPointAntiMalware-ET01SigDetected,DE001AssetInformation,Essential,Recommended Out of the Box Use Cases
UCESS027,High or Critical Priority Individual Logging into Infected Machine,,DA-ESS-AccessProtection,Authentication,DS003Authentication-ET01Success|DS004EndPointAntiMalware-ET01SigDetected,DE002IdentityInformation,Essential,Recommended Out of the Box Use Cases
UCESS028,High Process Count,,DA-ESS-EndpointProtection,Endpoint,DS009EndPointIntel-ET01ProcessLaunch,DE001AssetInformation,Mature,Recommended Out of the Box Use Cases
UCESS030,High Volume of Web Activity from Critical System,,DA-ESS-NetworkProtection,Web,DS005WebProxyRequest-ET01Requested,DE001AssetInformation,Essential,Recommended Out of the Box Use Cases
UCESS031,Host Sending Excessive Email,,DA-ESS-EndpointProtection,Mail,DS001Mail-ET03Send,DE001AssetInformation,Essential,Recommended Out of the Box Use Cases
UCESS032,Host With A Recurring Malware Infection,,SA-EndpointProtection,Malware,DS004EndPointAntiMalware-ET01SigDetected,DE001AssetInformation,Essential,Recommended Out of the Box Use Cases
UCESS033,Host With High Number Of Listening ports,,DA-ESS-EndpointProtection,Network Traffic,DS010NetworkCommunication-ET01Traffic,DDE001 Asset Information DDE005 Prohibited Network Protocol/Application List DDE006 Acceptable Network Protocol/Application List,Edge,Recommended Out of the Box Use Cases
UCESS034,Host With High Number Of Services,,DA-ESS-EndpointProtection,Endpoint,DS009EndPointIntel-ET01ObjectChange,DDE001 Asset Information DDE012 Service State by platform DDE014 Service Account process name/hash,Edge,Recommended Out of the Box Use Cases
UCESS035,Host With Multiple Infections,,DA-ESS-EndpointProtection,Malware,DS004EndPointAntiMalware-ET01SigDetected,DE001AssetInformation,Essential,Recommended Out of the Box Use Cases
UCESS036,Host With Old Infection Or Potential Re-Infection,,DA-ESS-EndpointProtection,Malware,DS004EndPointAntiMalware-ET01SigDetected,DE001AssetInformation,Essential,Recommended Out of the Box Use Cases
UCESS037,Inactive Account Activity Detected,,SA-AccessProtection,Authentication,DS003Authentication-ET01Success,DDE001 Asset Information DDE002 Identity Information,Maturing,Recommended Out of the Box Use Cases
UCESS038,Insecure Or Cleartext Authentication Detected,,SA-AccessProtection,Authentication,DS003Authentication-ET01Success,DDE001 Asset Information DDE002 Identity Information,Mature,Recommended Out of the Box Use Cases
UCESS039,Multiple Primary Functions Detected,,SA-EndpointProtection,Network Traffic,DS010NetworkCommunication-ET01Traffic,DE001AssetInformation,Mature,Recommended Out of the Box Use Cases
UCESS040,Network Change Detected,,SA-NetworkProtection,Inventory,DS006UserActivity-ET04Update,DDE001 Asset Information DDE003 Public Network attributes DDE008 Network CIDR Details,Edge,Recommended Out of the Box Use Cases
UCESS041,Network Device Rebooted,,SA-NetworkProtection,Change,DS015ConfigurationManagement,DDE001 Asset Information DDE012 Service State by platform DDE013 Critical Policy Objects,Edge,Recommended Out of the Box Use Cases
UCESS042,New User Account Created On Multiple Hosts,,DA-ESS-EndpointProtection,Inventory,DS006UserActivity-ET03Create,DDE013 Critical Policy Objects DDE016 Critical or Risky Groups,Maturing,Recommended Out of the Box Use Cases
UCESS043,Outbreak Detected,,SA-EndpointProtection,Malware,DS004EndPointAntiMalware-ET01SigDetected,DE001AssetInformation,Essential,Recommended Out of the Box Use Cases
UCESS044,Personally Identifiable Information Detected,,SA-AuditAndDataProtection,,ALL,DE002IdentityInformation,Edge,Recommended Out of the Box Use Cases
UCESS045,Potential Gap in Data,,SA-AuditAndDataProtection,Inventory,DS006UserActivity-ET06Search,DE002IdentityInformation,Essential,Recommended Out of the Box Use Cases
UCESS046,Prohibited Process Detected,,SA-EndpointProtection,Endpoint,DS009EndPointIntel-ET01ProcessLaunch,DDE001 Asset Information DDE012 Service State by platform DDE013 Critical Policy Objects,Maturing,Recommended Out of the Box Use Cases
UCESS047,Prohibited Service Detected,,SA-EndpointProtection,Endpoint,DS009EndPointIntel-ET01ProcessLaunch,DDE001 Asset Information DDE012 Service State by platform DDE013 Critical Policy Objects,Maturing,Recommended Out of the Box Use Cases
UCESS048,Same Error On Many Servers Detected,,SA-ThreatIntelligence,,ALL,DDE001 Asset Information DDE012 Service State by platform DDE013 Critical Policy Objects,Edge,Recommended Out of the Box Use Cases
UCESS049,Short-lived Account Detected,,DA-ESS-AccessProtection,Inventory,DS006UserActivity-ET03Create|DS006UserActivity-ET05Delete,DDE002 Identity Information DDE013 Critical Policy Objects,Mature,Recommended Out of the Box Use Cases
UCESS050,Should Timesync Host Not Syncing,,SA-EndpointProtection,Splunk Audit Logs ,DS007AuditTrail-ET03TimeSync,DDE001 Asset Information DDE012 Service State by platform,Maturing,Recommended Out of the Box Use Cases
UCESS051,Substantial Increase In Intrusion Events,,SA-NetworkProtection,Intrusion Detection,DS012NetworkIntrusionDetection,DDE001 Asset Information DDE004 Threat List DDE012 Service State by platform DDE013 Critical Policy Objects,Maturing,Recommended Out of the Box Use Cases
UCESS052,Substantial Increase In Port Activity,,SA-NetworkProtection,Network Traffic,DS010NetworkCommunication-ET01Traffic,DDE001 Asset Information DDE005 Prohibited Network Protocol/Application List DDE006 Acceptable Network Protocol/Application List,Edge,Recommended Out of the Box Use Cases
UCESS053,Threat Activity Detected,,DA-ESS-ThreatIntelligence,Web,DS001Mail-ET03Send|DS001Mail-ET02Receive|DS002DNS-ET01Query|DS005WebProxyRequest-ET01Requested|DS009EndPointIntel-ET01ProcessLaunch|DS010NetworkCommunication-ET01Traffic|DS011MalwareDetonation-ET01Detection,DE001AssetInformation DE002IdentityInformation DE003ThreatIntelligence,Essential,Recommended Out of the Box Use Cases
UCESS056,Prohibited Port Activity Detected,,DA-ESS-NetworkProtection,Network Traffic,DS010NetworkCommunication-ET01Traffic,DDE001 Asset Information DDE005 Prohibited Network Protocol/Application List DDE013 Critical Policy Objects,Mature,Recommended Out of the Box Use Cases
UCESS057,Unroutable Activity Detected,,DA-ESS-NetworkProtection,Network Traffic,DS010NetworkCommunication,DDE001 Asset Information DDE018 Network zone communication authorization matrix,Edge,Recommended Out of the Box Use Cases
UCESS058,Untriaged Notable Events,,SA-ThreatIntelligence,Ticket Management,DS013TicketManagement-ET01,DDE001 Asset Information DDE012 Service State by platform,Mature,Recommended Out of the Box Use Cases
UCESS059,Unusual Volume of Network Activity,,DA-ESS-NetworkProtection,Network Traffic,DS010NetworkCommunication-ET01Traffic,DDE003 Public Network attributes DDE008 Network CIDR Details,Maturing,Recommended Out of the Box Use Cases
UCESS060,Vulnerability Scanner Detected (by events),,SA-NetworkProtection,Intrusion Detection,DS012NetworkIntrusionDetection-ET01SigDetection,DE001AssetInformation DE002IdentityInformation,Essential,Recommended Out of the Box Use Cases
UCESS061,Vulnerability Scanner Detected (by targets),,SA-NetworkProtection,Intrusion Detection,DS012NetworkIntrusionDetection-ET01SigDetection,DE001AssetInformation DE002IdentityInformation,Essential,Recommended Out of the Box Use Cases
UCESS062,Watchlisted Event Observed,Special Case any event with a tag=watchlist is reported. Extreme prejudice should be used in implementation and ongoing use of this search.,SA-ThreatIntelligence,,,DDE004 Threat List DDE005 Prohibited Network Protocol/Application List DDE006 Acceptable Network Protocol/Application List,Edge,Recommended Out of the Box Use Cases
UCESS063,Web Uploads to Non-corporate Sites by Users,,DA-ESS-IdentityManagement,Web,DS005WebProxyRequest-ET01Requested,DE002IdentityInformation,Mature,Recommended Out of the Box Use Cases
UCESS066,High Volume Email Activity to Non-corporate Domains by User,,DA-ESS-IdentityManagement,Mail,DS001Mail-ET03Send,DE002IdentityInformation,Mature,Recommended Out of the Box Use Cases
UCGDPR001,Auditing Overview of Data Processing Systems (Glass Table),,Splunk_Professional_Services,,,,,
UCPCI0001,Anomalous Update Service Detected,Detects assets that should be updating but have not reported their required update service status or the status is disabled,Splunk_DA-ESS_PCICompliance,Endpoint,DS009EndPointIntel,,,
UCPCI0002,Credit Card Data Transmitted In Clear,Detects clear-text transmission of credit card data. Requires that appropriate IDS/IPS signatures be enabled.,Splunk_DA-ESS_PCICompliance,Intrusion Detection,DS012NetworkIntrusionDetection,,,
UCPCI0003,High/Critical Update Missing,Detects systems that do not have a high or critical update installed,Splunk_DA-ESS_PCICompliance,,DS019PatchManagement,,,
UCPCI0004,Inactive Antivirus Client Detected,"Detects assets that require antivirus but have not demonstrated that it is working properly (disabled, broken, etc.).",Splunk_DA-ESS_PCICompliance,Malware,DS004EndPointAntiMalware,,,
UCPCI0005,Privileged Authentication Without Multifactor Detected,Detects privileged authentication events that do not use second factor authentication.,Splunk_DA-ESS_PCICompliance,Authentication,DS003Authentication,,,
UCPCI0006,Prohibited or Insecure Port Detected,Detects prohibited ports and protocols.,Splunk_DA-ESS_PCICompliance,Endpoint,DS009EndPointIntel,,,
UCPCI0007,Rogue Wireless Device,Detects rogue devices on a wireless network.,Splunk_DA-ESS_PCICompliance,Intrusion Detection,DS012NetworkIntrusionDetection,,,
UCPCI0008,System Misconfigured,Detects misconfigured devices.,Splunk_DA-ESS_PCICompliance,Intrusion Detection,DS012NetworkIntrusionDetection,,,
UCPCI0009,Unauthorized Wireless Device Detected,Detects unauthorized wireless devices,Splunk_DA-ESS_PCICompliance,Intrusion Detection,DS012NetworkIntrusionDetection,,,
UCPCI0010,Unauthorized or Insecure Communication Permitted,Detects unauthorized or insecure communication between PCI domains.,Splunk_DA-ESS_PCICompliance,Network Traffic,DS010NetworkCommunication,,,
UCPCI0011,Unencrypted Traffic on Wireless Network,"Detects encryption failures, unencrypted traffic, or wired side traffic leakage on a wireless network.",Splunk_DA-ESS_PCICompliance,Intrusion Detection,DS012NetworkIntrusionDetection,,,
UCPCI0012,Weak Encrypted Communication Detected,Detects network traffic communicating using SSL/early TLS version of encryption.,Splunk_DA-ESS_PCICompliance,Certificates,Certificates,,,
UCQLS001,Qualys High Severity Web Apps,,TA-QualysCloudPlatform,,,,,
UCRF001,RF Domain Threatlist Search,,TA-recorded_future,,,,,
UCRF002,RF Hash Threatlist Search,,TA-recorded_future,,,,,
UCRF003,RF IP Threatlist Search,,TA-recorded_future,,,,,
UCRF004,RF URL Threatlist Search,,TA-recorded_future,,,,,
UCTAC001,Microsoft Windows-0001-Newly seen interaction with a share from endpoint to endpoint,"Using a tracker when a src endpoint operating system attempts to interact with share from a src_category os indicating endpoint operating system to another endpoint operating system lateral movement is likely. Review the source network, workstation and user to determine if the user is an authorized administrator. Where possible utilize sec_owner resolving to owner use category and exclude administrators",Splunk_Professional_Services,,,,Maturing,
UCTAC002,Microsoft Windows-0002-Password Spraying Attack,Detection of more than 10 attempts from the same src to authenticate to multiple accounts using a short list of passwords. This use case is a very specific version of UC0032 Brute force authentication attempted by IP with a low false positive detection factor,Splunk_Professional_Services,,,,Maturing,
UCTBD001,New Rule allowing Traffic to or from Protected Network,Communication from a enclave network may indicate a misconfiguration that could weaken the security posture of the organization or actual/attempted compromise.,Splunk_Professional_Services,,,,,
UCUBA001,Blacklisted Application,Raises anomalies when the input data matches a set of predefined patterns in Microsoft Windows logs.,Splunk_User_Behavior_Analytics,Network Traffic,Firewall,,,
UCUBA002,Blacklisted Domain,Generates  anomalies for traffic that goes to Blacklisted Domains.,Splunk_User_Behavior_Analytics,Network Resolution (DNS),HTTP|DNS,,,
UCUBA003,Blacklisted IP Address,Generates anomalies for traffic that goes to Blacklisted IPs,Splunk_User_Behavior_Analytics,Network Traffic,Network,,,
UCUBA004,Brute Force Attack,Detects users systematically increasing the number of devices that they  access over time.,Splunk_User_Behavior_Analytics,Authentication,Active Directory,,,
UCUBA005,Download From Internal Server,Detects outliers in the timeseries of downloaded bytes from possible internal servers per user.,Splunk_User_Behavior_Analytics,Network Traffic,Firewall,,,
UCUBA006,Excessive Box Downloads,"could identify moving data from sensitive servers into a more  accessible location (Uploads) and then downloading it elsewhere  (Downloads). These two,  alongside other Box operations (file moves, operations in general, etc.)  are particularly  leveraged by insiders exfiltrating data.",Splunk_User_Behavior_Analytics,,Cloud Data,,,
UCUBA007,Excessive Data Printed,Find users who printed more pages than normal.,Splunk_User_Behavior_Analytics,,Printer,,,
UCUBA008,Excessive Data Transmission,"Detects outliers in the timeseries of outgoing bytes transmission by each user, and each device. This detection will occur both normal traffic, VPN traffic, and separately after profiling connections. The profiling connections model only considers connections that behave as file transfers and ignores other type of connections, such as regular web browsing and interactive chat/video connections. Connection profiling aims to reduce False Positives (FP). Note that connection profiling is only available when network events include information about number of packets.",Splunk_User_Behavior_Analytics,Network Traffic,Network|Firewall,,,
UCUBA009,Excessive Downloads via VPN,,Splunk_User_Behavior_Analytics,Network Sessions,VPN,,,
UCUBA010,External Alarm,"Detects external alarms (e.g., by firewalls) that have unusual  characteristics.",Splunk_User_Behavior_Analytics,Alerts,External Alarm,,,
UCUBA011,External Alarm Activity,Computes risk analytics for the external alarm of entities and raises anomalies for the most noteworthy external alarm activity.,Splunk_User_Behavior_Analytics,Alerts,External Alarm,,,
UCUBA012,External Website Attack,Raises anomalies when there are suspicious patterns in incoming web traffic.,Splunk_User_Behavior_Analytics,Web,HTTP,,,
UCUBA013,Failed Access By Disabled Badge,Detects a door access attempt from a badge that has been disabled,Splunk_User_Behavior_Analytics,,Badge Data,,,
UCUBA014,Failed Badge Accesses on Multiple Doors,Detects failed badge-in attempts at multiple doors by a single badge  indicating that the user is trying to get into a location that is not  permitted.,Splunk_User_Behavior_Analytics,,Badge Data,,,
UCUBA015,Flight Risk User,"Detecting indications of a persistent interest in flight risk based on signals in email, web, and other user activity.",Splunk_User_Behavior_Analytics,Network Traffic,Firewall|HTTP|Email,,,
UCUBA016,Land Speed Violation,Raises anomalies when accounts login over VPN from multiple locations within a short time.,Splunk_User_Behavior_Analytics,Authentication,Authentication,,,
UCUBA017,Local Account Creation,Detects any local account creations on workstations. This requires  workstation logging,Splunk_User_Behavior_Analytics,Authentication,Active Directory,,,
UCUBA018,Machine Generated Beacon,Correlates beaconing activity with global information in the enterprise to identify suspicious beaconing activity.,Splunk_User_Behavior_Analytics,Endpoint,Endpoint,,,
UCUBA019,Machine Generated Beacon (HTTP),Correlates beaconing activity with global information in the enterprise  to identify suspicious beaconing activity.,Splunk_User_Behavior_Analytics,Web,HTTP,,,
UCUBA020,Machine Generated Beacon (IP),Correlates beaconing activity with global information in the enterprise  to identify suspicious beaconing activity.,Splunk_User_Behavior_Analytics,Network Traffic,Firewall,,,
UCUBA021,Malicious AD Activity,Raises anomalies when the input data matches a set of predefined patterns in Microsoft Windows logs.,Splunk_User_Behavior_Analytics,Authentication,Active Directory,,,
UCUBA022,Multiple Authentication Errors,Detects outliers in the timeseries of service or machine authentication failures per user.,Splunk_User_Behavior_Analytics,Authentication,Authentication,,,
UCUBA023,Multiple Authentication Failures,Detects outliers in the timeseries of service or machine authentication failures per user.,Splunk_User_Behavior_Analytics,Authentication,Authentication,,,
UCUBA024,Multiple Authentications,Detects outliers in the timeseries of service or machine authentication successes per user.,Splunk_User_Behavior_Analytics,Authentication,Authentication,,,
UCUBA025,Multiple Badge Accesses,Detects outliers in the timeseries of badge accesses per user.,Splunk_User_Behavior_Analytics,,Badge Data,,,
UCUBA026,Multiple Box Login Errors,Detects outliers in the timeseries of Box login failures per Box user.,Splunk_User_Behavior_Analytics,,Cloud Data,,,
UCUBA027,Multiple Box Logins,Detects outliers in the timeseries of Box login successes per Box user.,Splunk_User_Behavior_Analytics,,Cloud Data,,,
UCUBA028,Multiple Box Operations,Detects outliers in the timeseries of Box events per user.,Splunk_User_Behavior_Analytics,,Cloud Data,,,
UCUBA029,Multiple External Alarms,Detects outliers in the timeseries of external alarm per internal device.,Splunk_User_Behavior_Analytics,Alerts,External Alarm,,,
UCUBA030,Multiple Failed Badge Access Attempts,Detects if badges of multiple users failed at a single door entry on a given day,Splunk_User_Behavior_Analytics,,Badge Data,,,
UCUBA031,Multiple Login Errors,Advanced Threat Detection  Insider Threat  Security Monitoring  Compliance (Unusual Volume of Login Events per Account),Splunk_User_Behavior_Analytics,Authentication,Authentication,,,
UCUBA032,Multiple Logins,Detects outliers in the timeseries of workstation logins per user.,Splunk_User_Behavior_Analytics,Authentication,Authentication,,,
UCUBA033,Multiple Outgoing Connections,Unusual Volume of Outgoing Connections per Account/Device,Splunk_User_Behavior_Analytics,Network Traffic,Firewall,,,
UCUBA034,Multiple Sessions Denial,Advanced Threat Detection  Insider Threat  Application Security  Security Monitoring (Unusual Volume of Blocked Connections per Account/Device),Splunk_User_Behavior_Analytics,Network Traffic,Firewall,,,
UCUBA035,Network Protocol Violation,"Identifies DDOS amplification to an internal host that is receiving a  large number of unwanted replies different sources. An amplification attack  is a form of Distributed Denial Of Service (DDOS) where the attacker sends a  small request that will result in a large response. By spoofing the address  of the intended victim in the request, the attacker gets the amplifier to  send large, unwanted responses to the victim. At scale, this can result in  slow or nonexistent connectivity for the victim.",Splunk_User_Behavior_Analytics,Network Traffic,Firewall,,,
UCUBA036,Period with Unusual Windows Activity Sequences,"Correlates the rate of subtle changes in Active Directory behavior for  each account. The correlation happens with: (a) each account's historic  profile, and (b) with the activity of other accounts in the enterprise.",Splunk_User_Behavior_Analytics,Authentication,Active Directory,,,
UCUBA037,Period with Unusual Windows Security Event Sequences,Rare Microsoft Windows Events,Splunk_User_Behavior_Analytics,Authentication,Active Directory,,,
UCUBA038,Possible Phishing Attempt,Identifies incoming spear phishing email that has been targeting a  specific department in the organization. UBA requires an existing email  monitoring tool to identify a phishing email. (Browser Exploitation),Splunk_User_Behavior_Analytics,Web,HTTP,,,
UCUBA039,Potential Webshell Activity,Web Shell,Splunk_User_Behavior_Analytics,Web,HTTP,,,
UCUBA040,Rule-based Anomaly,Event Aggregation,Splunk_User_Behavior_Analytics,,Multiple,,,
UCUBA041,Scanning Activity,Identifies devices correlated to suspicious vertical and horizontal scanning patters.,Splunk_User_Behavior_Analytics,Network Traffic,Firewall,,,
UCUBA042,Suspicious Account Activity,Detects VPN login attempts using Service accounts (Feature-based Peer Grouping),Splunk_User_Behavior_Analytics,Authentication,Active Directory,,,
UCUBA043,Suspicious Account Lockout,"Looks for suspicious account lockouts that do not have any associations with password changes, password resets, password expiry within a specific time interval in and around the lockout period.",Splunk_User_Behavior_Analytics,Authentication,Active Directory,,,
UCUBA044,Suspicious Box Usage,Looks for combinations of actions performed by a Box user or against a Box resource that are suspicious.,Splunk_User_Behavior_Analytics,,Cloud Data,,,
UCUBA045,Suspicious Data Movement,"Unusual Volume of Data Uploaded per Account and Device, Account  Exfiltration, Device Exfiltration",Splunk_User_Behavior_Analytics,Network Traffic,Firewall,,,
UCUBA046,Suspicious Domain Communication,Detects covert and malicious communication patterns in network traffic.,Splunk_User_Behavior_Analytics,Network Resolution (DNS),Firewall|HTTP|DNS|External Alarm,,,
