"Use_Case_Number","Use_Case_Name","Application_Context"
UCCUS1238,"WannaCrypt Activity","DA-ESS-UseCases"
UCCUS1239,"WannaCrypt Domain Activity","DA-ESS-UseCases"
UCCUS124,"Azure Security Center Alert - CTI","DA-ESS-UseCases"
UCCUS1240,"Watchlisted User Linux Server Login","DA-ESS-UseCases"
UCCUS1241,"Watchlisted User VPN Login","DA-ESS-UseCases"
UCCUS1242,"Watchlisted User Windows Server Logon","DA-ESS-UseCases"
UCCUS1243,"Web Browsing behaviors","DA-ESS-UseCases"
UCCUS1244,"Web Browsing by Highly Privileged Account - CTI","DA-ESS-UseCases"
UCCUS1245,"Web Communication with malware","DA-ESS-UseCases"
UCCUS1246,"Web Server - Cleartext authentication","DA-ESS-UseCases"
UCCUS1247,"Web Server - Compromised Account Login","DA-ESS-UseCases"
UCCUS1248,"Web Server - Password Digest Guessing","DA-ESS-UseCases"
UCCUS1249,"Web Server - Poodle Attack","DA-ESS-UseCases"
UCCUS125,"BDS Sensitive Account Lockout","DA-ESS-UseCases"
UCCUS1250,"Web Server DNS Injection Attack","DA-ESS-UseCases"
UCCUS1251,"Web Server DOS/DDOS","DA-ESS-UseCases"
UCCUS1252,"Web Server DOS/DDOS - Slowloris","DA-ESS-UseCases"
UCCUS1253,"Web Server Vulnerability Scan","DA-ESS-UseCases"
UCCUS1254,"Web Traffic Related to XPS Malware Alert - CTI","DA-ESS-UseCases"
UCCUS1255,"Web Traffic to Known WannaCry Domain - CTI","DA-ESS-UseCases"
UCCUS1256,"Web Traffic to Malicious Destination from Server - CTI","DA-ESS-UseCases"
UCCUS1257,"Web Traffic towards domain which are not a part of Alexa Top 1 Million","DA-ESS-UseCases"
UCCUS1258,"Websense - Malicious successful domain access","DA-ESS-UseCases"
UCCUS1259,"Websense - Potential Malware callback activity","DA-ESS-UseCases"
UCCUS126,"BEC Alert","DA-ESS-UseCases"
UCCUS1260,"Weekly AS Shadowing EMEA","DA-ESS-UseCases"
UCCUS1261,"Weekly ArcSight to Remedy alert test","DA-ESS-UseCases"
UCCUS1262,"Weekly Report - HDSI: Anomalous Audit Trail Activity Detected","DA-ESS-UseCases"
UCCUS1263,"Weekly Ticket Report","DA-ESS-UseCases"
UCCUS1264,"Weekly Ticket Report - SIEM Teams","DA-ESS-UseCases"
UCCUS1265,"Weekly Ticket Report - SOC Teams","DA-ESS-UseCases"
UCCUS1266,"Whoami.exe from non-human account","DA-ESS-UseCases"
UCCUS1267,"Win Defender Non-PUP Detected","DA-ESS-UseCases"
UCCUS1268,"Windows - Application Crash","DA-ESS-UseCases"
UCCUS1269,"Windows - Authentication Replay attack detected","DA-ESS-UseCases"
UCCUS127,"BRGUA Location Security incident","DA-ESS-UseCases"
UCCUS1270,"Windows - Crash on Audit fail detected","DA-ESS-UseCases"
UCCUS1271,"Windows - Group type changed","DA-ESS-UseCases"
UCCUS1272,"Windows - SRP exception detected","DA-ESS-UseCases"
UCCUS1273,"Windows - Suspicous kernel signing driver detected","DA-ESS-UseCases"
UCCUS1274,"Windows - System process executed with abnormal path","DA-ESS-UseCases"
UCCUS1275,"Windows - Unauthorized domain controller logon","DA-ESS-UseCases"
UCCUS1276,"Windows 2003 server connection to the internet","DA-ESS-UseCases"
UCCUS1277,"Windows Failed Login For xy3jvea","DA-ESS-UseCases"
UCCUS1278,"Worm Propagation inside the Network","DA-ESS-UseCases"
UCCUS1279,"Worm spreading","DA-ESS-UseCases"
UCCUS128,"Bad Browser Extension Detected","DA-ESS-UseCases"
UCCUS1280,"XPS - Anomalous File or Network Activity Detected - CTI","DA-ESS-UseCases"
UCCUS1281,"XPS - Malicious Email Delivered to CUSTOMER User","DA-ESS-UseCases"
UCCUS1282,"XPS - Notable Event Detected","DA-ESS-UseCases"
UCCUS1283,"XPS - Outbound Activity Detected","DA-ESS-UseCases"
UCCUS1284,"XPS - SMB Alert Detected","DA-ESS-UseCases"
UCCUS1285,"XPS Alert Associated to Server - CTI","DA-ESS-UseCases"
UCCUS1286,"XPS Alert Associated to User - CTI","DA-ESS-UseCases"
UCCUS1287,"XPS Alert Associated to dest Host - CTI","DA-ESS-UseCases"
UCCUS1288,"XPS Alert Associated to src Host - CTI","DA-ESS-UseCases"
UCCUS1289,"XPS Alert for WannaCry Cryptoware IOC - CTI","DA-ESS-UseCases"
UCCUS129,"Bad_Hosts_Url_Cleanup_180_days","DA-ESS-UseCases"
UCCUS1290,"XPS Event with Cleartext Username - CTI","DA-ESS-UseCases"
UCCUS1291,"XPS Event with Cleartext Username - Server Risk Modifier - CTI","DA-ESS-UseCases"
UCCUS1292,"XPS Javascript Alert for User - CTI","DA-ESS-UseCases"
UCCUS1293,ZNIDDEL,"DA-ESS-UseCases"
UCCUS1294,"ZNIDDEL-WIP","DA-ESS-UseCases"
UCCUS1295,"Zero_Day-IIS 6 Vul","DA-ESS-UseCases"
UCCUS1296,"access_by_action","DA-ESS-UseCases"
UCCUS1297,"access_by_action_prc","DA-ESS-UseCases"
UCCUS1298,"application changes dashboards nightly base","DA-ESS-UseCases"
UCCUS1299,"application changes saved searches nightly base","DA-ESS-UseCases"
UCCUS130,"Bad_Hosts_Url_daily_feeds","DA-ESS-UseCases"
UCCUS1300,"archer_incident_prc","DA-ESS-UseCases"
UCCUS1301,"arcsight_account_locked_out_monitoring","DA-ESS-UseCases"
UCCUS1302,"avg_closuretime","DA-ESS-UseCases"
UCCUS1303,"continuous denied data exfiltration attempt","DA-ESS-UseCases"
UCCUS1304,"count incomplete CustomNet to Internet","DA-ESS-UseCases"
UCCUS1305,"count incomplete not CustomNet to Internet","DA-ESS-UseCases"
UCCUS1306,"current state of Vulnerabilities for a single host","DA-ESS-UseCases"
UCCUS1307,"doublepulsar-traffic observed","DA-ESS-UseCases"
UCCUS1308,"ePO & IDS Outbound Communication","DA-ESS-UseCases"
UCCUS1309,"ePO & IDS internal Communcation Activity","DA-ESS-UseCases"
UCCUS131,"Banner Enumeration Observed","DA-ESS-UseCases"
UCCUS1310,"endpoints per sitecode","DA-ESS-UseCases"
UCCUS1311,"endpoints-by-signature","DA-ESS-UseCases"
UCCUS1312,"exploit_attempts_against_vulnerable_assets","DA-ESS-UseCases"
UCCUS1313,"exploit_attempts_against_vulnerable_assets_prc","DA-ESS-UseCases"
UCCUS1314,"exploit_attempts_vulnerability_correlation_common_vulnerabilities_lookup_update","DA-ESS-UseCases"
UCCUS1315,"get index lookup","DA-ESS-UseCases"
UCCUS1316,"get_soc_lookup_files","DA-ESS-UseCases"
UCCUS1317,"get_vip_users","DA-ESS-UseCases"
UCCUS1318,"github_dhost","DA-ESS-UseCases"
UCCUS1319,"high Internet traffic from hosts with malware - critical host","DA-ESS-UseCases"
UCCUS132,"Beaconing pattern to malicious or uncategorized site - CTI","DA-ESS-UseCases"
UCCUS1320,"high Internet traffic from hosts with malware - critical user","DA-ESS-UseCases"
UCCUS1321,"high outbound traffic from hosts with malware","DA-ESS-UseCases"
UCCUS1322,"high_risk_monitor_lookup_update","DA-ESS-UseCases"
UCCUS1323,"hosts with old malware infection","DA-ESS-UseCases"
UCCUS1324,"ies coverage lookup files","DA-ESS-UseCases"
UCCUS1325,"incidents_by_severity","DA-ESS-UseCases"
UCCUS1326,"incidents_by_status","DA-ESS-UseCases"
UCCUS1327,"incidents_by_threat_category","DA-ESS-UseCases"
UCCUS1328,"incidents_created_by_day","DA-ESS-UseCases"
UCCUS1329,"login from an untrusted domain","DA-ESS-UseCases"
UCCUS133,"Blocked inbound /outbound email to CXO email addresses","DA-ESS-UseCases"
UCCUS1330,"logon from default accounts","DA-ESS-UseCases"
UCCUS1331,"malware URL connections","DA-ESS-UseCases"
UCCUS1332,"malware blocked","DA-ESS-UseCases"
UCCUS1333,"malware blocked Clone","DA-ESS-UseCases"
UCCUS1334,"malware not blocked","DA-ESS-UseCases"
UCCUS1335,"malware not blocked - crit-high user","DA-ESS-UseCases"
UCCUS1336,"malware not blocked Clone","DA-ESS-UseCases"
UCCUS1337,"malware not blocked, crit-high user Clone","DA-ESS-UseCases"
UCCUS1338,"malware not blocked, reputation Clone","DA-ESS-UseCases"
UCCUS1339,"malware outbreak","DA-ESS-UseCases"
UCCUS134,"Blocked visits to sites by Line of Business","DA-ESS-UseCases"
UCCUS1340,"malware traffic, client-to-server","DA-ESS-UseCases"
UCCUS1341,"malware traffic, server-to-client","DA-ESS-UseCases"
UCCUS1342,"malware_activity_by_action","DA-ESS-UseCases"
UCCUS1343,"malware_activity_by_signature","DA-ESS-UseCases"
UCCUS1344,"malware_prc","DA-ESS-UseCases"
UCCUS1345,"mcsir- malware C2 url alert","DA-ESS-UseCases"
UCCUS1346,"mcsir-20170512 WannaCry IP Indicators","DA-ESS-UseCases"
UCCUS1347,"member added and removd to the security group within 24 hours","DA-ESS-UseCases"
UCCUS1348,"multiple systems with same malware hash Clone","DA-ESS-UseCases"
UCCUS1349,"network_traffic_prc","DA-ESS-UseCases"
UCCUS135,"Bonymell Report","DA-ESS-UseCases"
UCCUS1350,"password brute force attack followed by account lockout","DA-ESS-UseCases"
UCCUS1351,"qualys_asset_information","DA-ESS-UseCases"
UCCUS1352,"rare_10_malware_signatures","DA-ESS-UseCases"
UCCUS1353,"remote access applications","DA-ESS-UseCases"
UCCUS1354,"risks per endpoint","DA-ESS-UseCases"
UCCUS1355,"sanctuary_summary_for_john","DA-ESS-UseCases"
UCCUS1356,"security cameras accessible from public internet","DA-ESS-UseCases"
UCCUS1357,"sensitive files copied to USB","DA-ESS-UseCases"
UCCUS1358,"sensitive files copied to USB, ECS","DA-ESS-UseCases"
UCCUS1359,"session count to Internet - not DNS or incomplete","DA-ESS-UseCases"
UCCUS136,"BridgeWater - Users who have multiple (n) failed log-in attempts","DA-ESS-UseCases"
UCCUS1360,"sesu_root users update from controlminder","DA-ESS-UseCases"
UCCUS1361,"si-client-users","DA-ESS-UseCases"
UCCUS1362,"si-msexchange-internet-mail","DA-ESS-UseCases"
UCCUS1363,"si-msexchange-user-mail","DA-ESS-UseCases"
UCCUS1364,"si-msexchange-user-population","DA-ESS-UseCases"
UCCUS1365,"soc-dev-report-sep12 minionhost by dest_nt_host - 1day","DA-ESS-UseCases"
UCCUS1366,"soc_alert_segregation_lookup_update_job","DA-ESS-UseCases"
UCCUS1367,"sourcetype_monitor_volume_anomaly","DA-ESS-UseCases"
UCCUS1368,"spike in firewall traffic","DA-ESS-UseCases"
UCCUS1369,"top_10_alerts","DA-ESS-UseCases"
UCCUS137,"BridgeWater - Users who log-in outside of business hours","DA-ESS-UseCases"
UCCUS1370,"top_10_alerts_prc","DA-ESS-UseCases"
UCCUS1371,"top_10_malware_signatures","DA-ESS-UseCases"
UCCUS1372,"total_incidents","DA-ESS-UseCases"
UCCUS1373,"total_traffic_by_action","DA-ESS-UseCases"
UCCUS1374,"total_traffic_by_protocol","DA-ESS-UseCases"
UCCUS1375,"traffic_to_website","DA-ESS-UseCases"
UCCUS1376,"usecase_165_preparation_search","DA-ESS-UseCases"
UCCUS1377,"usecase_825_preparation_search","DA-ESS-UseCases"
UCCUS1378,"user enabled and deleted in 24 hours","DA-ESS-UseCases"
UCCUS1379,"valid_threats","DA-ESS-UseCases"
UCCUS138,"BridgeWater Granting of access to Oracle users","DA-ESS-UseCases"
UCCUS1380,"validate_execution_vul_scan_tracker_gen","DA-ESS-UseCases"
UCCUS1381,"vulnerabilities_by_severity_last_90_days","DA-ESS-UseCases"
UCCUS1382,"vulnerabilities_prc","DA-ESS-UseCases"
UCCUS1383,"vulnerability_correlation_scanned_host_open_ports_lookup_update","DA-ESS-UseCases"
UCCUS1384,"vulnerability_correlation_scanned_host_open_ports_lookup_update_every_90_days","DA-ESS-UseCases"
UCCUS1385,"wildfire Email events","DA-ESS-UseCases"
UCCUS139,"BridgeWater Login outside of Orlando DMO range - Daily Digest Email Report","DA-ESS-UseCases"
UCCUS140,"BridgeWater-DBA Accounts who log in from outside the Approved IPs","DA-ESS-UseCases"
UCCUS141,"BridgeWater-Monitored-DBA Account Activities","DA-ESS-UseCases"
UCCUS142,"BridgeWater-Users who attempt to access a restricted database","DA-ESS-UseCases"
UCCUS143,"BridgeWater-Users who have multiple (n) failed log-in attempts - Daily Digest Email Report","DA-ESS-UseCases"
UCCUS144,"BridgeWater-Users who log in from outside the Orlando DMO","DA-ESS-UseCases"
UCCUS145,"Bridgewater Alerts Summary","DA-ESS-UseCases"
UCCUS146,"Bridgewater Events Summary","DA-ESS-UseCases"
UCCUS147,"Bridgewater_Alerts_Last24h","DA-ESS-UseCases"
UCCUS148,"Brute Force Behavior - HARRISON","DA-ESS-UseCases"
UCCUS149,"Brute Force Behavior - TACOMA-WA","DA-ESS-UseCases"
UCCUS150,"Brute Force targetting Network Infrastructure","DA-ESS-UseCases"
UCCUS151,"C&S Monitoring - High Concern Index","DA-ESS-UseCases"
UCCUS152,"C&S Monitoring - High Target Index","DA-ESS-UseCases"
UCCUS153,"C&S Monitoring - Host Lock Violation","DA-ESS-UseCases"
UCCUS154,"CAS Throttling Policies","DA-ESS-UseCases"
UCCUS155,"CIM - Add-on Tag Population By Data Model","DA-ESS-UseCases"
UCCUS156,"CIO Dashboard Functional ID Monitor","DA-ESS-UseCases"
UCCUS157,"CMSTP.exe To Execute a Malicious Payload","DA-ESS-UseCases"
UCCUS158,"CNC-MALWARE Squid DNS sinkhole","DA-ESS-UseCases"
UCCUS159,"CNC-Malware-Niddel","DA-ESS-UseCases"
UCCUS160,"CUST External IP Port Monitoring","DA-ESS-UseCases"
UCCUS161,"CUST FireAMP Malware Threat Detected","DA-ESS-UseCases"
UCCUS162,"CUST NTP servers used in DDoS attack","DA-ESS-UseCases"
UCCUS163,"CUST Possible Malware Found on Server","DA-ESS-UseCases"
UCCUS164,"CUST Server - Possible Malware Detected","DA-ESS-UseCases"
UCCUS165,"CUSTOMER Firewall Host Fail to Report to Splunk","DA-ESS-UseCases"
UCCUS166,"CUSTOMER SLIC Feed Alert for User - CTI","DA-ESS-UseCases"
UCCUS167,"CUSTS Cisco AMP for Endpoints Alert","DA-ESS-UseCases"
UCCUS168,"Changes to Domain Admin and Priviledged Builtin groups","DA-ESS-UseCases"
UCCUS169,"Chart - firewall report by source IP","DA-ESS-UseCases"
UCCUS170,"Cisco Sourcefire Critical Events","DA-ESS-UseCases"
UCCUS171,"Cisco Umbrella - Sinkholed Traffic","DA-ESS-UseCases"
UCCUS172,"Citrix Brute Force Attack","DA-ESS-UseCases"
UCCUS173,"Citrix DDOS Attack","DA-ESS-UseCases"
UCCUS174,"Citrix Targeted Attack","DA-ESS-UseCases"
UCCUS175,"Cleartext Authentication Report","DA-ESS-UseCases"
UCCUS176,"Cleartext Protocol detected","DA-ESS-UseCases"
UCCUS177,"Clicked Phishing Urls","DA-ESS-UseCases"
UCCUS178,"Client Landing - ActiveSync","DA-ESS-UseCases"
UCCUS179,"Client Landing - EWS","DA-ESS-UseCases"
UCCUS180,"Client Landing - OWA","DA-ESS-UseCases"
UCCUS181,"Client Landing - Outlook Anywhere","DA-ESS-UseCases"
UCCUS182,"Cloud Root Logins","DA-ESS-UseCases"
UCCUS183,"Common Lateral Movement Tools","DA-ESS-UseCases"
UCCUS184,"Communication to the same domain name but different IP","DA-ESS-UseCases"
UCCUS185,"Communication with malware C&C","DA-ESS-UseCases"
UCCUS186,"Compromised SSH account exfiltrating data","DA-ESS-UseCases"
UCCUS187,"Concurrent Interactive Logons","DA-ESS-UseCases"
UCCUS188,"Concurrent Network Logons","DA-ESS-UseCases"
UCCUS189,"Connection attempt from Lost/Stolen RSA token","DA-ESS-UseCases"
UCCUS190,"Connection to 2nd stage digital currency exploit","DA-ESS-UseCases"
UCCUS191,"Connections to Sites not in Alexa Top One Million","DA-ESS-UseCases"
UCCUS192,"Count of Distinct Files Written to USB by User - CTI - Context Gen","DA-ESS-UseCases"
UCCUS193,"Create asset inventory from seed data","DA-ESS-UseCases"
UCCUS194,"Creation or modification of account by non-GAMO user","DA-ESS-UseCases"
UCCUS195,"Creation/Modification of Accounts & AD Groups","DA-ESS-UseCases"
UCCUS196,"Credential Switch Involving a Highly Privileged Account - CTI","DA-ESS-UseCases"
UCCUS197,"Credential Theft Alert","DA-ESS-UseCases"
UCCUS198,"Critical / high malware traffic","DA-ESS-UseCases"
UCCUS199,"Critical / high malware traffic - client-to-server","DA-ESS-UseCases"
UCCUS200,"Critical / high malware traffic - server-to-client","DA-ESS-UseCases"
UCCUS201,"Critical Windows Process Not Running Out of the Default Directory - CTI","DA-ESS-UseCases"
UCCUS202,"Critical hosts talking to Internet","DA-ESS-UseCases"
UCCUS203,"CrowdStrike Falcon Critical Severity Events","DA-ESS-UseCases"
UCCUS204,"CrowdStrike Falcon High Severity Events","DA-ESS-UseCases"
UCCUS205,"CrowdStrike Falcon Low Severity Events","DA-ESS-UseCases"
UCCUS206,"CrowdStrike Falcon Medium Severity Events","DA-ESS-UseCases"
UCCUS207,"Cyberark Managed Admins - Lookup Gen","DA-ESS-UseCases"
UCCUS208,"Cyberark Vaulted Accounts - Lookup Gen","DA-ESS-UseCases"
UCCUS209,"Cybereason Malop Follow-UP","DA-ESS-UseCases"
UCCUS210,"DDoS - Palo Alto Flood Detection","DA-ESS-UseCases"
UCCUS211,"DDoS - Palo Alto Zone Protection Engaged","DA-ESS-UseCases"
UCCUS212,"DHCP top requestors","DA-ESS-UseCases"
UCCUS213,"DLP - possible suspicious activity","DA-ESS-UseCases"
UCCUS214,"DMZ Domain Controller Logon other than HUB","DA-ESS-UseCases"
UCCUS215,"DNS - Query Source","DA-ESS-UseCases"
UCCUS216,"DNS Server(s) not seen before","DA-ESS-UseCases"
UCCUS217,"DNS Unique Queries","DA-ESS-UseCases"
UCCUS218,"DNS queries for known malicious domains","DA-ESS-UseCases"
UCCUS219,"DNS queries from spoofed or non-authorized addresses","DA-ESS-UseCases"
UCCUS220,"DNS query over HTTPS activity detected","DA-ESS-UseCases"
UCCUS221,"DNS sinkhole","DA-ESS-UseCases"
UCCUS222,"DNS talkers not DC or FP","DA-ESS-UseCases"
UCCUS223,"DOS from successive failed logins","DA-ESS-UseCases"
UCCUS224,"Damballa - New Compromised Host on Internal Network","DA-ESS-UseCases"
UCCUS225,"Damballa - New Compromised Host on VPN","DA-ESS-UseCases"
UCCUS226,"Damballa - New Suspicious Host on Internal Network","DA-ESS-UseCases"
UCCUS227,"Damballa - New Suspicious Host on VPN","DA-ESS-UseCases"
UCCUS228,"Data Model Acceleration Lag","DA-ESS-UseCases"
UCCUS229,"Data Model Tag Population By Add-on","DA-ESS-UseCases"
UCCUS230,"Data flow anomalies","DA-ESS-UseCases"
UCCUS231,"Data uploaded by Line of Business","DA-ESS-UseCases"
UCCUS232,"Database - Guardium - Critical Drop Command Executed","DA-ESS-UseCases"
UCCUS233,"Database - Guardium - Grant or Revoke Command Executed","DA-ESS-UseCases"
UCCUS234,"Database Data Pump Export","DA-ESS-UseCases"
UCCUS235,"Database DoS/DDoS Attack","DA-ESS-UseCases"
UCCUS236,"Database Excessive Login Failures","DA-ESS-UseCases"
UCCUS237,"Database Logs not Received","DA-ESS-UseCases"
UCCUS238,"Database Public Permission Grants","DA-ESS-UseCases"
UCCUS239,"Datamodel Acceleration Below 85%","DA-ESS-UseCases"
UCCUS240,"Default MetaSploit Port Activity - CTI","DA-ESS-UseCases"
UCCUS241,"Delivered Emails Later Identified as Phishing Attempts","DA-ESS-UseCases"
UCCUS242,"Detected Credential Theft","DA-ESS-UseCases"
UCCUS243,"Detected Fileless Malware","DA-ESS-UseCases"
UCCUS244,"Detected Malicious Use of Powershell","DA-ESS-UseCases"
UCCUS245,"Detected Medium Severity Malicious Activity","DA-ESS-UseCases"
UCCUS246,"Detection of Prohibited Protocol (Application)","DA-ESS-UseCases"
UCCUS247,"Detection of abnormal connections on firewall","DA-ESS-UseCases"
UCCUS248,"Detection of abnormal document egress via web uploads","DA-ESS-UseCases"
UCCUS249,"Detection of archived content uploads to unauthorized domains","DA-ESS-UseCases"
UCCUS250,"Detection of exiting behavior in email and web activity","DA-ESS-UseCases"
UCCUS251,"Detection of multiple users to egress data from same endpoint","DA-ESS-UseCases"
UCCUS252,"Detection of suspicious destination port in the web requests","DA-ESS-UseCases"
UCCUS253,"Dictionary Attack","DA-ESS-UseCases"
UCCUS254,"Different Destination & Different TCP port","DA-ESS-UseCases"
UCCUS255,"Different Destination & Single TCP port","DA-ESS-UseCases"
UCCUS256,"Distribution Lists - Distribution Lists","DA-ESS-UseCases"
UCCUS257,"DoS - Substantial Increase In Protocol Events Against CUSTOMER Website - CTI","DA-ESS-UseCases"
UCCUS258,"Domain Controller Logon without use of a -4 Account","DA-ESS-UseCases"
UCCUS259,"Domain Threat Indicators Observed in Squid Access Logs","DA-ESS-UseCases"
UCCUS260,"DomainTools - High Reputation Score Observed","DA-ESS-UseCases"
UCCUS261,"DomainTools Whois Watchlist Match","DA-ESS-UseCases"
UCCUS262,"Double_Pulsar","DA-ESS-UseCases"
UCCUS263,"Download via certutil.exe","DA-ESS-UseCases"
UCCUS264,"Duo modification for known accounts","DA-ESS-UseCases"
UCCUS265,"Duplicate MAC entry","DA-ESS-UseCases"
UCCUS266,"EEND-MALWARE multiple systems with same malware hash","DA-ESS-UseCases"
UCCUS267,"EEND-PUP SEP malware not blocked, PUA or adware","DA-ESS-UseCases"
UCCUS268,"EPS Counts","DA-ESS-UseCases"
UCCUS269,"ESSMON DB_CONNECT Query failed for more than 2 times in an hour","DA-ESS-UseCases"
UCCUS270,"ESSMON DB_CONNECT Query fetches less than 50K logs in 3 min","DA-ESS-UseCases"
UCCUS271,"EWS - Requests over Time","DA-ESS-UseCases"
UCCUS272,"EWS - Top Mail Clients","DA-ESS-UseCases"
UCCUS273,"EWS - Top Operating Systems","DA-ESS-UseCases"
UCCUS274,"EWS - Top Users by IP Address and RPC Sessions","DA-ESS-UseCases"
UCCUS275,"EWS - Top Users by RPC Sessions","DA-ESS-UseCases"
UCCUS276,"EXE download by Java UA","DA-ESS-UseCases"
UCCUS277,"EXP-IDS PAN IDS crit-high blocked","DA-ESS-UseCases"
UCCUS278,"EXP-IDS PAN IDS crit-high, Scheduled Scan","DA-ESS-UseCases"
UCCUS279,"Efx team VPN access","DA-ESS-UseCases"
UCCUS280,"Efx team VPN access - Daily Report","DA-ESS-UseCases"
UCCUS281,"Email from consultants to external with attachment","DA-ESS-UseCases"
UCCUS282,"Emails sent to competitor domains","DA-ESS-UseCases"
UCCUS283,"Endpoint attack on Citrix Infrastructure","DA-ESS-UseCases"
UCCUS284,"Endpoint uncleaned malware detection","DA-ESS-UseCases"
UCCUS285,"Endpoint virus detection due to inbound email","DA-ESS-UseCases"
UCCUS286,"Endpoints Being Communicated To From IP Threat Indicators","DA-ESS-UseCases"
UCCUS287,"Endpoints Communicating To IP Threat Indicators","DA-ESS-UseCases"
UCCUS288,"Entity-Account Deleted","DA-ESS-UseCases"
UCCUS289,"Entity-Priveleged User Account disabled","DA-ESS-UseCases"
UCCUS290,"Entity-Priveleged User Account locked","DA-ESS-UseCases"
UCCUS291,"Entity-Priveleged User Account locked multiple times","DA-ESS-UseCases"
UCCUS292,"Entity-Priveleged User Account unlocked","DA-ESS-UseCases"
UCCUS293,"Entity-Priveleged User account enabled","DA-ESS-UseCases"
UCCUS294,"Entity-Terminated Accounts added to group","DA-ESS-UseCases"
UCCUS295,"Entity-User Account created and deleted in 24 hours","DA-ESS-UseCases"
UCCUS296,"Entity-User account enabled and disabled within 24 hours","DA-ESS-UseCases"
UCCUS297,"Entity-User account locked multiple times","DA-ESS-UseCases"
UCCUS298,"Environment Report - External Clients","DA-ESS-UseCases"
UCCUS299,"Environment Report - Internal Clients","DA-ESS-UseCases"
UCCUS300,"Environment Report - Mailboxes","DA-ESS-UseCases"
UCCUS301,"Environment Report - Messages","DA-ESS-UseCases"
UCCUS302,"Essential Windows Process Name Variant - CTI","DA-ESS-UseCases"
UCCUS303,"Essential Windows Process not Running From the Expected Location - CTI","DA-ESS-UseCases"
UCCUS304,"Events by Index - Last 24h","DA-ESS-UseCases"
UCCUS305,"Excessive Bytes from Single Source IP to Dest IP","DA-ESS-UseCases"
UCCUS306,"Excessive Failed Login Attempts with Short Turnaround Time Lockout","DA-ESS-UseCases"
UCCUS307,"Excessive Malware File Delete Failed by Host","DA-ESS-UseCases"
UCCUS308,"Excessive Malware File Deleted by Host","DA-ESS-UseCases"
UCCUS309,"Excessive SMTP traffic outbound","DA-ESS-UseCases"
UCCUS310,"Excessive Traffic Outbound Malware Blacklist Domain","DA-ESS-UseCases"
UCCUS311,"Excessive Traffic Outbound Malware Blacklist IP","DA-ESS-UseCases"
UCCUS312,"Excessive Traffic Outbound Malware Blacklist via Port 443/80","DA-ESS-UseCases"
UCCUS313,"Excessive Traffic Outbound Malware Blacklist via Port 8080","DA-ESS-UseCases"
UCCUS314,"Excessive client firewall denies","DA-ESS-UseCases"
UCCUS315,"Excessive copies to USB","DA-ESS-UseCases"
UCCUS316,"Excessive email outbound connections","DA-ESS-UseCases"
UCCUS317,"Excessive email outbound connections - critical systems","DA-ESS-UseCases"
UCCUS318,"Excessive failed logons, -nix","DA-ESS-UseCases"
UCCUS319,"Excessive failed logons, Windows","DA-ESS-UseCases"
UCCUS320,"Excessive hosts not updating AV signatures","DA-ESS-UseCases"
UCCUS321,"Excessive number of emails sent from internal user","DA-ESS-UseCases"
UCCUS322,"Excessive password changes","DA-ESS-UseCases"
UCCUS323,"Excessive port blocking attempts from anti-virus or other monitoring systems","DA-ESS-UseCases"
UCCUS324,"Excessive scan timeouts from anti-virus","DA-ESS-UseCases"
UCCUS325,"Excessive web content requests/downloads","DA-ESS-UseCases"
UCCUS326,"Exchange Service Analyzer - Alerts","DA-ESS-UseCases"
UCCUS327,"Exchange Service Analyzer - Combined Host-Service-Component Lookup","DA-ESS-UseCases"
UCCUS328,"Exchange Service Analyzer - Hosts Detection","DA-ESS-UseCases"
UCCUS329,"Executable Files Written to USB by Rare Process - CTI","DA-ESS-UseCases"
UCCUS330,"Executable downloaded from Internet","DA-ESS-UseCases"
UCCUS331,"Executable files downloaded by Line of Business","DA-ESS-UseCases"
UCCUS332,"Expected host not reporting","DA-ESS-UseCases"
UCCUS333,"Exploit Attempts against Vulnerable Assets","DA-ESS-UseCases"
UCCUS334,"Exploit Attempts against Vulnerable Assets - hourly job","DA-ESS-UseCases"
UCCUS335,"Exploit Kit Tracking - Angler","DA-ESS-UseCases"
UCCUS336,"Exploit Kit Tracking - Blackhole","DA-ESS-UseCases"
UCCUS337,"Exploit Kit Tracking - Generic","DA-ESS-UseCases"
UCCUS338,"Exploit Kit Tracking - Neutrino","DA-ESS-UseCases"
UCCUS339,"Exploit activity after reconnaissance","DA-ESS-UseCases"
UCCUS340,"External HTTP Attack from TOR","DA-ESS-UseCases"
UCCUS341,"External HTTP Attacks","DA-ESS-UseCases"
UCCUS342,"External Port Scans (Blocked Attempts) Breakdown","DA-ESS-UseCases"
UCCUS343,"External Scans Detected","DA-ESS-UseCases"
UCCUS344,"External Scans Detected_expires after 6 days","DA-ESS-UseCases"
UCCUS345,"External Source Scanning Multiple DestIPs with Multiple DestPorts","DA-ESS-UseCases"
UCCUS346,"External Source Scanning Multiple DestIPs with same DestPort","DA-ESS-UseCases"
UCCUS347,"External access to NTP Server","DA-ESS-UseCases"
UCCUS348,"External, Inbound Firewall Connections Over Time","DA-ESS-UseCases"
UCCUS349,"Extract Customad DCs","DA-ESS-UseCases"
UCCUS350,"Extract Customad FP","DA-ESS-UseCases"
UCCUS351,"F5 VPN Logons","DA-ESS-UseCases"
UCCUS352,"FTP - Malicious files uploaded by content","DA-ESS-UseCases"
UCCUS353,"FTP Activity Observed from New Country","DA-ESS-UseCases"
